JPT_SJR_KO,JPT_POWIER,JPT_KOD_JE,JPT_NAZWA_,Shape_Leng,Shape_Area,kod_woj,powiat_kod,gmina_rodz,X,Y
GMI,7274.000000000000000,"1206072",Liszki,0.648578469990000,0.009044914980000,"12","1206","2",19.759103,50.036115
GMI,1878.000000000000000,"1207011",Limanowa,0.323992483300000,0.002330773910000,"12","1207","1",20.423072,49.714990
GMI,5802.000000000000000,"1207112",Słopnice,0.389927652240000,0.007080931430000,"12","1207","2",20.333969,49.675750
GMI,8804.000000000000000,"1211023",Szczawnica,0.514172489610000,0.010894869050000,"12","1211","3",20.534357,49.424624
GMI,5910.000000000000000,"1208062",Racławice,0.504611580280000,0.007462735900000,"12","1208","2",20.217959,50.333367
GMI,8883.000000000000000,"1209042",Pcim,0.698919709820000,0.011104079770000,"12","1209","2",19.981526,49.769363
GMI,4158.000000000000000,"1218082",Tomice,0.452770643620000,0.005200909450000,"12","1218","2",19.513475,49.925252
GMI,10851.000000000000000,"1201032",Drwinia,0.663067618760000,0.013632285960000,"12","1201","2",20.432983,50.072008
GMI,6247.000000000000000,"1206022",Igołomia-Wawrzeńczyce,0.585246698430000,0.007890138130000,"12","1206","2",20.268691,50.106870
GMI,14666.000000000000000,"1212073",Wolbrom,0.846661190010000,0.018555417630000,"12","1212","3",19.756769,50.389913
GMI,2750.000000000000000,"1215021",Sucha Beskidzka,0.292849927780000,0.003448982300000,"12","1215","1",19.582371,49.732590
GMI,7071.000000000000000,"1216072",Rzepiennik Strzyżewski,0.577115404200000,0.008830143200000,"12","1216","2",21.089746,49.794512
GMI,7847.000000000000000,"1216133",Wojnicz,0.745924723470000,0.009934729180000,"12","1216","3",20.826218,49.947855
GMI,4613.000000000000000,"1202062",Iwkowa,0.408760579530000,0.005896603120000,"12","1202","2",20.568158,49.800054
GMI,5482.000000000000000,"1203022",Babice,0.750712782670000,0.006812494250000,"12","1203","2",19.422327,50.063704
GMI,4445.000000000000000,"1204042",Mędrzechów,0.423282529570000,0.005599270440000,"12","1204","2",20.956961,50.279515
GMI,9842.000000000000000,"1205023",Biecz,0.735114007610000,0.012253125600000,"12","1205","3",21.246863,49.723339
GMI,8644.000000000000000,"1208032",Kozłów,0.756785566790000,0.010862367730000,"12","1208","2",20.030634,50.474400
GMI,14148.000000000000000,"1210113",Muszyna,0.863502661900000,0.017508107670000,"12","1210","3",20.884260,49.369664
GMI,19480.000000000000000,"1205092",Sękowa,1.044266699140000,0.024212437360000,"12","1205","2",21.331079,49.537073
GMI,11701.000000000000000,"1204023",Dąbrowa Tarnowska,0.845713296870000,0.014652890890000,"12","1204","3",21.026363,50.178740
GMI,5165.000000000000000,"1206082",Michałowice,0.468646020290000,0.006432607270000,"12","1206","2",20.005793,50.152541
GMI,9444.000000000000000,"1207052",Kamienica,0.853873330920000,0.011841953920000,"12","1207","2",20.299042,49.588521
GMI,8431.000000000000000,"1217011",Zakopane,0.575769993690000,0.010411998350000,"12","1217","1",19.969284,49.275773
GMI,21174.000000000000000,"1211052",Jabłonka,1.046333069730000,0.026406851950000,"12","1211","2",19.687986,49.505058
GMI,8991.000000000000000,"1208022",Gołcza,0.766337296840000,0.011366629280000,"12","1208","2",19.896743,50.327051
GMI,6739.000000000000000,"1209092",Wiśniowa,0.445138290190000,0.008376153020000,"12","1209","2",20.097108,49.779742
GMI,1701.000000000000000,"1210011",Grybów,0.297953584270000,0.002109881330000,"12","1210","1",20.948829,49.614947
GMI,11918.000000000000000,"1210082",Łabowa,0.634910907040000,0.014786679670000,"12","1210","2",20.849340,49.492674
GMI,15325.000000000000000,"1210042",Grybów,1.176063729870000,0.019054925720000,"12","1210","2",20.874894,49.605597
GMI,6483.000000000000000,"1210142",Podegrodzie,0.601914739430000,0.008049884890000,"12","1210","2",20.599000,49.597289
GMI,10099.000000000000000,"1210163",Stary Sącz,0.674418007480000,0.012527907150000,"12","1210","3",20.616551,49.527406
GMI,32786.000000000000000,"1261011",Kraków,1.476556590500000,0.041030512990000,"12","1261","1",19.997038,50.046902
GMI,14087.000000000000000,"1211102",Ochotnica Dolna,0.787490812660000,0.017530491070000,"12","1211","2",20.277124,49.518742
GMI,6440.000000000000000,"1212011",Bukowno,0.562731561250000,0.008131821490000,"12","1212","1",19.436180,50.260991
GMI,3548.000000000000000,"1213082",Przeciszów,0.342024207430000,0.004444233000000,"12","1213","2",19.374966,49.995622
GMI,8713.000000000000000,"1214012",Koniusza,0.757619402090000,0.011141692680000,"12","1214","2",20.205180,50.178070
GMI,5495.000000000000000,"1214033",Nowe Brzesko,0.547102157470000,0.006845592630000,"12","1214","3",20.403378,50.148835
GMI,2732.000000000000000,"1213033",Chełmek,0.357366136920000,0.003427787760000,"12","1213","3",19.252313,50.090328
GMI,11413.000000000000000,"1215072",Stryszawa,0.686556546460000,0.014187303540000,"12","1215","2",19.490526,49.728289
GMI,7014.000000000000000,"1216022",Gromnik,0.556233279790000,0.008716054040000,"12","1216","2",20.952274,49.845234
GMI,7550.000000000000000,"1218033",Kalwaria Zebrzydowska,0.683398763530000,0.009415957310000,"12","1218","3",19.682233,49.888831
GMI,10009.000000000000000,"1218013",Andrychów,0.539512355980000,0.012538080190000,"12","1218","3",19.349985,49.822903
GMI,3729.000000000000000,"1218052",Mucharz,0.408702970890000,0.004656322790000,"12","1218","2",19.529797,49.817393
GMI,4047.000000000000000,"1218042",Lanckorona,0.560610426740000,0.005056714740000,"12","1218","2",19.742802,49.853082
